,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset,city
0,2025-01-17,1737086400,32.0,24.0,27.4,36.7,24.0,29.7,23.2,79.5,0.0,0.0,0.0,,0.0,0.0,24.1,11.2,346.0,1010.4,43.6,10.2,229.7,19.8,9.0,06:08:58,1737108538,18:42:45,1737153765,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBPV', '82824099999']",obs,1,-8.76167,-63.902,"Porto Velho, RO, Brasil",Porto Velho,America/Porto_Velho,-4.0,Porto Velho
0,2025-01-17,1737086400,32.4,24.5,27.8,36.7,24.5,29.9,23.0,76.4,0.0,0.0,0.0,,0.0,0.0,26.6,17.1,63.5,1011.7,62.7,10.8,250.7,21.5,9.0,06:02:14,1737108134,18:18:43,1737152323,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['81730099999', 'SBMN', 'SBEG', '82111099999', '82332099999']",obs,1,-3.10848,-60.0523,"Manaus, AM, Brasil",Manaus,America/Manaus,-4.0,Manaus
0,2025-01-17,1737090000,32.0,23.0,27.0,37.8,23.0,29.2,23.7,83.6,0.0,0.0,0.0,,0.0,0.0,31.0,18.3,334.6,1010.9,67.2,9.9,220.8,19.0,7.0,05:22:42,1737109362,18:00:15,1737154815,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBRB', '81965099999', '82917099999']",obs,1,-9.97388,-67.8076,"Rio Branco, AC, Brasil",Rio Branco,America/Rio_Branco,-5.0,Rio Branco
0,2025-01-17,1737086400,30.7,23.2,25.5,32.8,23.2,25.9,20.6,75.4,0.0,0.0,0.0,,0.0,0.0,29.5,15.5,30.9,1008.7,81.0,11.4,277.3,23.8,10.0,05:12:33,1737105153,18:24:44,1737152684,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['86809099999', 'SBCG', '83612099999', '86810099999']",obs,1,-20.4563,-54.6153,"Campo Grande, MS, Brasil",Campo Grande,America/Campo_Grande,-4.0,Campo Grande
0,2025-01-17,1737082800,31.0,25.0,26.7,36.5,25.0,28.4,23.8,85.0,0.0,0.0,0.0,,0.0,0.0,29.2,24.1,50.3,1012.5,79.6,10.0,70.9,6.1,3.0,06:31:02,1737106262,18:38:03,1737149883,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82098099999', 'SBMQ']",obs,1,0.03409,-51.0665,"Macapá, AP, Brasil",Macapá,America/Belem,-3.0,Macapá
0,2025-01-17,1737082800,25.2,18.7,21.2,25.2,18.7,21.2,18.8,86.9,0.0,0.0,0.0,,0.0,0.0,37.8,14.1,359.2,1015.4,73.0,11.2,153.4,13.1,7.0,05:53:48,1737104028,18:50:02,1737150602,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['86715099999', 'SBBR', '83378099999', '86736099999', '86716099999']",obs,1,-15.7783,-47.9291,"Brasília, DF, Brasil",Brasília,America/Sao_Paulo,-3.0,Brasília
0,2025-01-17,1737086400,34.2,24.2,29.1,34.3,24.2,29.3,16.8,48.9,0.0,0.0,0.0,,0.0,0.0,37.1,24.6,74.7,1012.0,43.0,11.6,254.8,22.1,9.0,06:13:40,1737108820,18:12:18,1737151938,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82022099999', 'SBBV', '81615099999']",obs,1,2.82175,-60.6736,"Boa Vista, RR, Brasil",Boa Vista,America/Boa_Vista,-4.0,Boa Vista
0,2025-01-17,1737086400,30.7,24.0,26.8,36.2,24.0,28.4,23.1,81.2,0.0,0.0,0.0,,0.0,0.0,22.3,16.6,317.3,1009.5,85.5,11.5,143.4,12.3,6.0,05:26:46,1737106006,18:22:24,1737152544,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBCY', '83362099999', '86705099999']",obs,1,-15.5988,-56.0947,"Cuiabá, MT, Brasil",Cuiabá,America/Cuiaba,-4.0,Cuiabá
0,2025-01-17,1737082800,30.0,23.0,26.6,33.6,23.0,28.3,22.4,78.5,6.1,100.0,45.83,['rain'],0.0,0.0,27.4,16.6,332.4,1013.4,58.5,10.0,205.3,17.9,8.0,06:04:23,1737104663,18:42:43,1737150163,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['83064099999', '82336699999', 'SBPJ']",obs,1,-10.2124,-48.3312,"Palmas, TO, Brasil",Palmas,America/Araguaina,-3.0,Palmas
0,2025-01-17,1737082800,27.0,20.5,23.9,28.7,20.5,24.2,19.8,78.8,1.2,100.0,16.67,['rain'],0.0,0.0,48.2,18.6,23.8,1016.8,73.3,10.3,105.8,9.1,4.0,05:35:05,1737102905,18:58:28,1737151108,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['SBMT', '83779099999', '83075099999', 'SBKP', 'F7461', 'SBSP', '83721099999', 'SBGR', '83780099999']",obs,1,-23.5629,-46.6547,"São Paulo, SP, Brasil",São Paulo,America/Sao_Paulo,-3.0,São Paulo
0,2025-01-17,1737082800,30.0,23.8,27.2,35.1,23.8,30.0,24.4,85.8,0.0,0.0,0.0,,0.0,0.0,22.7,16.5,318.2,1012.1,83.8,11.8,235.9,20.2,8.0,05:50:14,1737103814,18:12:45,1737148365,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82579099999', 'SBTE', '81792099999']",obs,1,-5.09067,-42.8116,"Teresina, PI, Brasil",Teresina,America/Fortaleza,-3.0,Teresina
0,2025-01-17,1737082800,29.1,24.0,27.2,33.7,24.0,29.6,23.5,80.8,0.0,0.0,0.0,,0.0,0.0,40.0,25.9,161.0,1011.8,42.1,10.0,223.4,19.3,10.0,05:22:21,1737102141,18:43:22,1737150202,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBRJ', 'SBGL', 'SBAF', '83748099999', 'F0496', '83746099999', '83755099999']",obs,1,-22.9122,-43.175,"Rio de Janeiro, RJ, Brasil",Rio de Janeiro,America/Sao_Paulo,-3.0,Rio de Janeiro
0,2025-01-17,1737082800,31.7,24.0,26.7,35.8,24.0,28.1,23.6,84.4,0.0,0.0,0.0,,0.0,0.0,23.0,16.8,146.5,1013.0,85.3,10.6,98.0,8.3,4.0,06:18:31,1737105511,18:30:02,1737149402,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBBE', '82193099999', '81680099999']",obs,1,-1.45643,-48.5033,"Belém, PA, Brasil",Belém,America/Belem,-3.0,Belém
0,2025-01-17,1737082800,29.8,21.2,24.0,31.3,21.2,24.3,19.8,78.9,7.2,100.0,87.5,['rain'],0.0,0.0,43.2,20.3,349.2,1014.6,68.7,10.1,114.2,9.8,5.0,05:57:36,1737104256,18:56:50,1737151010,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['83424099999', 'SBGO', '83419099999', 'SBAN', '86734099999', '83423099999']",obs,1,-16.6793,-49.2565,"Goiânia, GO, Brasil",Goiânia,America/Sao_Paulo,-3.0,Goiânia
0,2025-01-17,1737093600,30.8,18.4,25.7,29.8,18.4,25.6,16.4,59.5,0.0,0.0,0.0,,0.0,0.0,42.1,18.5,5.9,1015.9,6.2,11.5,257.4,22.4,9.0,06:24:31,1737116671,17:49:51,1737157791,0.62,Clear,Clear conditions throughout the day.,clear-day,"['MSSS', '78666099999', '78650099999', '78663099999', 'MSLP', '78655099999']",obs,1,13.6997,-89.2068,El Salvador,Salvador,America/El_Salvador,-6.0,Salvador
0,2025-01-17,1737082800,28.0,22.8,25.2,31.9,22.8,26.1,23.5,90.5,1.5,100.0,4.17,['rain'],0.0,0.0,37.1,25.9,11.1,1011.2,86.1,7.4,99.7,8.7,5.0,05:34:53,1737102893,19:13:46,1737152026,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['SBFL', 'D7023', '86948099999', '83899099999']",obs,1,-27.5976,-48.548,"Florianópolis, SC, Brasil",Florianópolis,America/Sao_Paulo,-3.0,Florianópolis
0,2025-01-17,1737082800,27.2,22.9,25.3,30.5,22.9,25.8,23.7,90.8,0.0,0.0,0.0,,0.0,0.0,26.3,10.4,249.4,1013.0,86.9,10.8,201.2,17.2,8.0,05:59:51,1737104391,18:14:35,1737148475,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82281099999', 'SBSL', '81715099999']",obs,1,-2.52657,-44.2403,"São Luís, MA, Brasil",São Luís,America/Fortaleza,-3.0,São Luís
0,2025-01-17,1737082800,30.9,23.1,26.6,32.8,23.1,27.5,21.6,75.9,0.0,0.0,0.0,,0.0,0.0,23.8,18.1,117.5,1014.1,47.2,11.5,247.2,21.4,8.0,05:14:51,1737101691,17:51:28,1737147088,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82993099999', '81998099999', 'SBMO']",obs,1,-9.66649,-35.735,"Maceió, AL, Brasil",Maceió,America/Maceio,-3.0,Maceió
0,2025-01-17,1737082800,35.0,23.4,27.7,40.4,23.4,29.8,22.7,76.5,0.0,0.0,0.0,,0.0,0.0,37.1,22.3,105.6,1008.8,32.6,10.7,299.3,25.9,9.0,05:40:35,1737103235,19:29:28,1737152968,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBPA', '83967099999', '83971099999', 'SBCO']",obs,1,-30.0339,-51.228,"Porto Alegre, RS, Brasil",Porto Alegre,America/Sao_Paulo,-3.0,Porto Alegre
0,2025-01-17,1737082800,24.0,19.5,21.3,24.0,19.5,21.3,19.7,90.7,0.0,0.0,0.0,,0.0,0.0,42.5,23.4,5.3,1015.8,91.7,10.0,42.7,3.8,2.0,05:42:01,1737103321,19:12:29,1737151949,0.62,Overcast,Cloudy skies throughout the day.,cloudy,"['SBBI', 'SBCT', '86933099999', '83842099999', '83840099999']",obs,1,-25.44,-49.2765,"Curitiba, PR, Brasil",Curitiba,America/Sao_Paulo,-3.0,Curitiba
0,2025-01-17,1737082800,30.9,20.9,25.8,31.8,20.9,26.1,18.8,68.6,0.0,0.0,0.0,,0.0,0.0,36.7,30.3,55.6,1016.7,45.7,10.3,297.3,25.7,9.0,05:30:46,1737102646,18:41:05,1737150065,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['83587099999', 'SBLS', 'SBBH', 'SBCF', 'SBPR', '83583099999', '83566099999', '83588099999', '86798099999']",obs,1,-19.9195,-43.9383,"Belo Horizonte, MG, Brasil",Belo Horizonte,America/Sao_Paulo,-3.0,Belo Horizonte
0,2025-01-17,1737082800,29.0,25.0,26.9,33.6,25.0,29.1,23.6,82.6,0.0,0.0,0.0,,0.0,0.0,29.5,18.4,101.1,1012.5,48.1,11.3,239.8,20.8,8.0,05:35:15,1737102915,17:53:35,1737147215,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBFZ', '82398099999']",obs,1,-3.71841,-38.5429,"Fortaleza, CE, Brasil",Fortaleza,America/Fortaleza,-3.0,Fortaleza
0,2025-01-17,1737082800,30.1,26.1,28.3,34.1,26.1,31.2,22.3,70.2,0.0,0.0,0.0,,0.0,0.0,29.5,22.3,129.3,1013.0,48.7,11.7,270.3,23.4,9.0,05:13:54,1737101634,17:45:31,1737146731,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82899099999', 'SBRF']",obs,1,-8.05603,-34.8704,"Recife, PE, Brasil",Recife,America/Recife,-3.0,Recife
0,2025-01-17,1737082800,31.2,24.0,27.6,34.8,24.0,29.7,22.4,74.7,0.0,0.0,0.0,,0.0,0.0,29.2,24.1,106.7,1013.1,60.7,10.0,258.5,22.4,8.0,05:15:19,1737101719,17:44:02,1737146642,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBJP', '81878099999', '82798099999', '81918099999']",obs,1,-7.1151,-34.8611,"João Pessoa, PB, Brasil",João Pessoa,America/Fortaleza,-3.0,João Pessoa
