,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset,city
0,2025-02-02,1738468800,27.0,23.9,25.3,29.6,23.9,25.9,22.5,84.6,1.5,100.0,8.33,['rain'],0.0,0.0,20.5,13.0,350.7,1008.7,83.7,9.2,189.3,16.4,9.0,30.0,06:15:19,1738491319,18:43:26,1738536206,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['SBPV', '82824099999']",obs,1,-8.76167,-63.902,"Porto Velho, RO, Brasil",Porto Velho,America/Porto_Velho,-4.0,Porto Velho
0,2025-02-02,1738468800,30.4,24.6,26.9,33.9,24.6,28.5,23.5,82.4,0.0,0.0,0.0,['rain'],0.0,0.0,38.2,15.5,40.1,1009.4,71.4,10.4,195.7,17.0,10.0,10.0,06:06:48,1738490808,18:21:12,1738534872,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['81730099999', 'SBMN', 'SBEG', '82111099999', '82332099999']",obs,1,-3.10848,-60.0523,"Manaus, AM, Brasil",Manaus,America/Manaus,-4.0,Manaus
0,2025-02-02,1738472400,32.0,23.0,27.0,39.1,23.0,29.7,23.9,84.6,0.0,0.0,0.0,['rain'],0.0,0.0,23.4,18.3,322.6,1008.8,51.8,9.6,218.8,18.9,8.0,60.0,05:29:26,1738492166,18:00:33,1738537233,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBRB', '81965099999', '82917099999']",obs,1,-9.97388,-67.8076,"Rio Branco, AC, Brasil",Rio Branco,America/Rio_Branco,-5.0,Rio Branco
0,2025-02-02,1738468800,30.6,20.7,25.0,31.9,20.7,25.5,19.5,73.2,0.0,0.0,0.0,['rain'],0.0,0.0,15.1,12.0,340.2,1007.2,41.3,10.8,325.5,28.1,10.0,10.0,05:22:51,1738488171,18:21:26,1738534886,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['86809099999', 'SBCG', '83612099999', '86810099999']",obs,1,-20.4563,-54.6153,"Campo Grande, MS, Brasil",Campo Grande,America/Campo_Grande,-4.0,Campo Grande
0,2025-02-02,1738465200,29.0,23.0,25.3,33.6,23.0,25.8,24.1,93.6,0.0,0.0,0.0,['rain'],0.0,,34.9,16.6,60.2,1009.5,83.4,9.5,92.8,8.1,5.0,10.0,06:34:38,1738488878,18:41:31,1738532491,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82098099999', 'SBMQ']",obs,1,0.03409,-51.0665,"Macapá, AP, Brasil",Macapá,America/Belem,-3.0,Macapá
0,2025-02-02,1738465200,25.2,18.1,20.8,25.2,18.1,20.8,18.5,87.4,13.3,100.0,8.33,['rain'],0.0,0.0,29.9,20.8,350.9,1012.8,80.2,10.9,60.0,5.1,5.0,10.0,06:02:27,1738486947,18:48:24,1738532904,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['86715099999', 'SBBR', '83378099999', '86716099999', '86736099999']",obs,1,-15.7783,-47.9291,"Brasília, DF, Brasil",Brasília,America/Sao_Paulo,-3.0,Brasília
0,2025-02-02,1738468800,32.0,23.2,27.5,32.1,23.2,27.6,17.2,55.2,0.0,0.0,0.0,,0.0,0.0,59.4,25.1,77.1,1010.3,47.8,11.6,302.4,26.1,10.0,10.0,06:16:25,1738491385,18:16:38,1738534598,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['82022099999', 'SBBV', '81615099999']",obs,1,2.82175,-60.6736,"Boa Vista, RR, Brasil",Boa Vista,America/Boa_Vista,-4.0,Boa Vista
0,2025-02-02,1738468800,31.9,21.9,26.7,35.0,21.9,28.2,21.5,74.6,0.0,0.0,0.0,['rain'],0.0,0.0,40.3,13.3,344.6,1007.0,66.5,10.6,277.7,24.2,9.0,30.0,05:35:22,1738488922,18:20:50,1738534850,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['SBCY', '83362099999', '86705099999']",obs,1,-15.5988,-56.0947,"Cuiabá, MT, Brasil",Cuiabá,America/Cuiaba,-4.0,Cuiabá
0,2025-02-02,1738465200,27.0,22.0,24.3,29.2,22.0,24.4,22.5,90.2,20.1,100.0,75.0,['rain'],0.0,0.0,10.8,13.0,325.7,1011.3,84.0,8.9,72.2,6.0,5.0,30.0,06:11:12,1738487472,18:42:56,1738532576,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['83064099999', '82336699999', 'SBPJ']",obs,1,-10.2124,-48.3312,"Palmas, TO, Brasil",Palmas,America/Araguaina,-3.0,Palmas
0,2025-02-02,1738465200,27.0,21.0,22.8,28.8,21.0,22.9,20.6,88.1,23.1,100.0,8.33,['rain'],0.0,0.0,33.1,18.7,354.8,1012.6,80.7,9.2,137.4,11.7,7.0,10.0,05:46:32,1738485992,18:54:01,1738533241,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['SBMT', '83779099999', 'F7461', 'SBSP', 'SBGR', '83780099999']",obs,1,-23.5629,-46.6547,"São Paulo, SP, Brasil",São Paulo,America/Sao_Paulo,-3.0,São Paulo
