,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,queryCost,latitude,longitude,resolvedAddress,address,timezone,tzoffset
0,2025-02-06,1738814400,32.0,23.0,26.8,36.7,23.0,28.8,22.7,79.7,11.0,100.0,37.5,['rain'],0.0,0.0,16.9,14.8,161.2,1009.2,59.0,9.6,240.1,20.7,9.0,75.0,06:16:29,1738836989,18:42:56,1738881776,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['SBPV'],obs,1,-8.76166,-63.902,"Porto Velho, RO, Brasil","Porto Velho,RO,Brasil",America/Porto_Velho,-4.0
0,2025-02-06,1738814400,30.4,24.0,25.8,36.9,24.0,26.7,23.5,87.7,10.8,100.0,45.83,['rain'],0.0,0.0,15.5,32.3,68.9,1009.9,60.1,9.9,230.9,20.1,10.0,60.0,06:07:27,1738836447,18:21:14,1738880474,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['SBMN', 'SBEG']",obs,1,-3.10848,-60.0523,"Manaus, AM, Brasil","Manaus,AM,Brasil",America/Manaus,-4.0
0,2025-02-06,1738818000,31.0,23.0,25.8,36.4,23.0,27.3,23.5,88.1,1.6,100.0,29.17,['rain'],0.0,0.0,26.6,16.6,355.8,1010.3,70.6,8.5,262.6,22.5,10.0,30.0,05:30:43,1738837843,17:59:56,1738882796,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['SBRB'],obs,1,-9.97388,-67.80756,"Rio Branco, AC, Brasil","Rio Branco,AC,Brasil",America/Rio_Branco,-5.0
0,2025-02-06,1738814400,29.0,21.9,25.0,31.3,21.9,25.4,21.1,79.9,1.5,100.0,25.0,['rain'],0.0,0.0,33.5,27.7,0.8,1014.3,91.2,10.0,99.7,8.7,6.0,10.0,05:25:11,1738833911,18:19:47,1738880387,0.29,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,['SBCG'],obs,1,-20.45584,-54.61542,"Campo Grande, MS, Brasil","Campo Grande,MS,Brasil",America/Campo_Grande,-4.0
0,2025-02-06,1738810800,30.0,25.0,26.8,36.1,25.0,28.9,25.0,90.4,6.2,100.0,54.17,['rain'],0.0,,25.9,16.6,82.7,1009.4,67.6,10.0,295.9,25.6,10.0,30.0,06:35:00,1738834500,18:41:50,1738878110,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['SBMQ'],obs,1,0.03409,-51.06649,"Macapá, AP, Brasil","Macapá,AP,Brasil",America/Belem,-3.0
0,2025-02-06,1738810800,29.0,17.0,23.9,28.5,17.0,23.8,15.2,60.9,0.1,100.0,4.17,['rain'],0.0,0.0,35.3,24.1,111.2,1018.0,63.0,10.0,322.3,27.9,10.0,30.0,06:04:18,1738832658,18:47:14,1738878434,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,['SBBR'],obs,1,-15.7783,-47.9291,"Brasília, DF, Brasil","Brasília,DF,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738814400,33.0,25.0,28.0,35.2,25.0,29.5,21.2,67.6,5.9,100.0,33.33,['rain'],0.0,0.0,38.9,27.7,95.0,1009.7,81.7,10.0,169.3,14.8,9.0,10.0,06:16:31,1738836991,18:17:13,1738880233,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['SBBV'],obs,1,2.8218,-60.67353,"Boa Vista, RR, Brasil","Boa Vista,RR,Brasil",America/Boa_Vista,-4.0
0,2025-02-06,1738814400,32.0,23.0,26.5,36.7,23.0,27.6,22.3,79.2,1.9,100.0,25.0,['rain'],0.0,0.0,16.6,16.6,304.5,1011.3,85.4,10.0,289.1,24.9,10.0,30.0,05:37:11,1738834631,18:19:41,1738880381,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['SBCY'],obs,1,-15.5988,-56.0947,"Cuiabá, MT, Brasil","Cuiabá,MT,Brasil",America/Cuiaba,-4.0
0,2025-02-06,1738810800,34.0,23.0,28.3,37.2,23.0,29.9,20.6,65.3,0.0,0.0,0.0,,0.0,0.0,15.5,13.0,142.1,1010.6,40.5,10.0,320.9,27.8,10.0,60.0,06:12:31,1738833151,18:42:19,1738878139,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['SBPJ'],obs,1,-10.2124,-48.3312,"Palmas, TO, Brasil","Palmas,TO,Brasil",America/Araguaina,-3.0
0,2025-02-06,1738810800,31.4,19.8,25.3,32.2,19.8,25.7,18.7,69.1,2.0,100.0,25.0,['rain'],0.0,0.0,46.4,21.9,340.1,1017.3,65.1,9.7,195.3,17.0,7.0,30.0,05:49:12,1738831752,18:52:02,1738878722,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['SBMT', 'SBKP', 'F7461', 'SBSP', 'SBGR']",obs,1,-23.5629,-46.6547,"São Paulo, SP, Brasil","São Paulo,SP,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,33.0,24.0,28.6,38.0,24.0,30.7,23.3,75.3,3.3,100.0,33.33,['rain'],0.0,0.0,16.9,22.3,108.5,1009.1,77.7,9.8,227.6,19.7,10.0,30.0,05:56:16,1738832176,18:14:28,1738876468,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBTE'],obs,1,-5.09067,-42.8116,"Teresina, PI, Brasil","Teresina,PI,Brasil",America/Fortaleza,-3.0
0,2025-02-06,1738810800,35.0,25.0,28.8,40.5,25.0,31.4,22.5,70.5,0.0,0.0,0.0,,0.0,,17.3,23.9,173.6,1011.0,42.4,10.0,257.8,22.3,9.0,10.0,05:36:09,1738830969,18:37:15,1738877835,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['SBRJ', 'SBJR', 'SBGL', 'SBAF', 'F0496', 'SBSC']",obs,1,-22.91216,-43.17501,"Rio de Janeiro, RJ, Brasil","Rio de Janeiro,RJ,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,31.0,24.0,26.4,36.4,24.0,28.0,24.1,88.1,16.1,100.0,79.17,['rain'],0.0,0.0,27.0,25.9,70.8,1009.7,77.9,10.0,268.0,23.0,10.0,75.0,06:23:06,1738833786,18:33:13,1738877593,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBBE'],obs,1,-1.45643,-48.5033,"Belém, PA, Brasil","Belém,PA,Brasil",America/Belem,-3.0
0,2025-02-06,1738810800,30.9,19.9,25.3,30.9,19.9,25.4,17.6,66.5,1.1,100.0,25.0,['rain'],0.0,0.0,17.6,18.3,105.0,1016.2,47.6,9.8,321.1,27.7,10.0,60.0,06:08:30,1738832910,18:53:38,1738878818,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['SBGO', 'SBAN']",obs,1,-16.6793,-49.2565,"Goiânia, GO, Brasil","Goiânia,GO,Brasil",America/Sao_Paulo,-3.0
0,2025-02-06,1738810800,29.0,24.0,26.8,32.6,24.0,28.5,22.1,75.8,1.2,100.0,25.0,['rain'],0.0,,20.5,18.4,101.1,1012.8,87.4,9.7,213.5,18.5,9.0,30.0,05:30:01,1738830601,18:06:18,1738875978,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['SBSV'],obs,1,-12.98645,-38.52259,"Salvador, BA, Brasil","Salvador,BA,Brasil",America/Bahia,-3.0
